Measurement mode: Multipole mode
Scanning path: 
Sr+360
****************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************
File name: IPM_1i2_surface
Date: 12.07.2018
Time: 16:42
Sample: 3mm
Gaussmeter: MMS-1A-RS
Hall probe: SENIS AG
Air gap: 3mm
Scanning resolution [µm]: 1000
Resolution rotation [°]:  0.1
Custom space line for Area scan: off
Probe offset X: -0.235mT;   Probe offset Y: -0.33mT;   Probe offset Z: -0.193mT;
Position offset X: 0mm;   Position offset Y: 0mm;   Position offset Z: 0mm;
Start position X=-19    Start position Y=-0.001    Start position Z=0.001    Start position R=67.808
System serial number:MMS-1A-RS
Probe serial number: F3A-03K02D-S.2T/01T/25KJ  238-17, Selected measurement range: 200 mT
Calibration date:
Coordinate system: Rot table
Probe angle position: 0 degrees
Filter is turned ON          Lower Cut Off: 2500
Linear speed: 13 mm/s          Rotation speed: 120 deg/s
Graph view for Diameter and Multipole mode for full rotation: Default
****************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************


           Slice	            Line	          X [mm]	          Y [mm]	          Z [mm]	  Rotation [deg]	         Bx [mT]	         By [mT]	         Bz [mT]	Rot. Enc [steps]	        Bxy [mT]	       Btot [mT]	Angle error [deg]	       Direction	         R [mm] 	          Z [mm]	     Theta [deg]	Probe temp [°C] 
           1.000	           1.000	         -19.000	          -0.001	           0.001	           3.600	          37.314	           4.877	         -19.929	      -19632.850	          37.631	          42.583	             NaN	              R+	          19.000	           0.001	           3.600	          28.707
           1.000	           1.000	         -19.000	          -0.001	           0.001	           3.700	          37.332	           5.166	         -19.901	      -19637.401	          37.688	          42.619	             NaN	              R+	          19.000	           0.001	           3.700	          28.713
           1.000	           1.000	         -19.000	          -0.001	           0.001	           3.800	          37.334	           5.405	         -19.799	      -19641.953	          37.724	          42.604	             NaN	              R+	          19.000	           0.001	           3.800	          28.725
           1.000	           1.000	         -19.000	          -0.001	           0.001	           3.900	          37.306	           5.628	         -19.777	      -19646.504	          37.728	          42.597	             NaN	              R+	          19.000	           0.001	           3.900	          28.764
           1.000	           1.000	         -19.000	          -0.001	           0.001	           4.000	          37.279	           5.904	         -19.810	      -19651.056	          37.744	          42.627	             NaN	              R+	          19.000	           0.001	           4.000	          28.700
           1.000	           1.000	         -19.000	          -0.001	           0.001	           4.100	          37.180	           6.119	         -19.798	      -19655.607	          37.680	          42.565	             NaN	              R+	          19.000	           0.001	           4.100	          28.765
           1.000	           1.000	         -19.000	          -0.001	           0.001	           4.200	          37.109	           6.341	         -19.744	      -19660.158	          37.647	          42.510	             NaN	              R+	          19.000	           0.001	           4.200	          28.639
           1.000	           1.000	         -19.000	          -0.001	           0.001	           4.300	          37.084	           6.628	         -19.690	      -19664.710	          37.672	          42.508	             NaN	              R+	          19.000	           0.001	           4.300	          28.682
           1.000	           1.000	         -19.000	          -0.001	           0.001	           4.400	          37.053	           6.860	         -19.693	      -19669.261	          37.682	          42.518	             NaN	              R+	          19.000	           0.001	           4.400	          28.761
           1.000	           1.000	         -19.000	          -0.001	           0.001	           4.500	          37.065	           7.168	         -19.670	      -19673.812	          37.752	          42.569	             NaN	              R+	          19.000	           0.001	           4.500	          28.770
           1.000	           1.000	         -19.000	          -0.001	           0.001	           4.600	          36.988	           7.478	         -19.688	      -19678.364	          37.736	          42.563	             NaN	              R+	          19.000	           0.001	           4.600	          28.659
           1.000	           1.000	         -19.000	          -0.001	           0.001	           4.700	          36.949	           7.785	         -19.528	      -19682.915	          37.760	          42.511	             NaN	              R+	          19.000	           0.001	           4.700	          28.691
           1.000	           1.000	         -19.000	          -0.001	           0.001	           4.800	          36.858	           7.886	         -19.568	      -19687.467	          37.692	          42.469	             NaN	              R+	          19.000	           0.001	           4.800	          28.651
           1.000	           1.000	         -19.000	          -0.001	           0.001	           4.900	          36.806	           8.178	         -19.473	      -19692.018	          37.704	          42.435	             NaN	              R+	          19.000	           0.001	           4.900	          28.729
           1.000	           1.000	         -19.000	          -0.001	           0.001	           5.000	          36.742	           8.457	         -19.457	      -19696.569	          37.703	          42.427	             NaN	              R+	          19.000	           0.001	           5.000	          28.694
           1.000	           1.000	         -19.000	          -0.001	           0.001	           5.100	          36.710	           8.718	         -19.410	      -19701.121	          37.731	          42.431	             NaN	              R+	          19.000	           0.001	           5.100	          28.721
           1.000	           1.000	         -19.000	          -0.001	           0.001	           5.200	          36.650	           8.890	         -19.370	      -19705.672	          37.713	          42.396	             NaN	              R+	          19.000	           0.001	           5.200	          28.750
           1.000	           1.000	         -19.000	          -0.001	           0.001	           5.300	          36.563	           9.190	         -19.388	      -19710.224	          37.700	          42.394	             NaN	              R+	          19.000	           0.001	           5.300	          28.836
           1.000	           1.000	         -19.000	          -0.001	           0.001	           5.400	          36.456	           9.482	         -19.327	      -19714.775	          37.669	          42.338	             NaN	              R+	          19.000	           0.001	           5.400	          28.810
           1.000	           1.000	         -19.000	          -0.001	           0.001	           5.500	          36.468	           9.737	         -19.310	      -19719.326	          37.745	          42.398	             NaN	              R+	          19.000	           0.001	           5.500	          28.861
           1.000	           1.000	         -19.000	          -0.001	           0.001	           5.600	          36.409	           9.962	         -19.274	      -19723.878	          37.747	          42.383	             NaN	              R+	          19.000	           0.001	           5.600	          28.847
           1.000	           1.000	         -19.000	          -0.001	           0.001	           5.700	          36.302	          10.194	         -19.188	      -19728.429	          37.706	          42.307	             NaN	              R+	          19.000	           0.001	           5.700	          28.786
           1.000	           1.000	         -19.000	          -0.001	           0.001	           5.800	          36.229	          10.481	         -19.186	      -19732.981	          37.715	          42.314	             NaN	              R+	          19.000	           0.001	           5.800	          28.733
           1.000	           1.000	         -19.000	          -0.001	           0.001	           5.900	          36.174	          10.773	         -19.241	      -19737.532	          37.744	          42.365	             NaN	              R+	          19.000	           0.001	           5.900	          28.786
           1.000	           1.000	         -19.000	          -0.001	           0.001	           6.000	          36.096	          10.990	         -19.136	      -19742.083	          37.732	          42.307	             NaN	              R+	          19.000	           0.001	           6.000	          28.916
           1.000	           1.000	         -19.000	          -0.001	           0.001	           6.100	          35.969	          11.253	         -19.053	      -19746.635	          37.688	          42.231	             NaN	              R+	          19.000	           0.001	           6.100	          28.799
           1.000	           1.000	         -19.000	          -0.001	           0.001	           6.200	          35.893	          11.520	         -18.982	      -19751.186	          37.696	          42.206	             NaN	              R+	          19.000	           0.001	           6.200	          28.866
           1.000	           1.000	         -19.000	          -0.001	           0.001	           6.300	          35.860	          11.768	         -18.936	      -19755.737	          37.741	          42.225	             NaN	              R+	          19.000	           0.001	           6.300	          28.913
           1.000	           1.000	         -19.000	          -0.001	           0.001	           6.400	          35.749	          12.022	         -18.891	      -19760.289	          37.716	          42.183	             NaN	              R+	          19.000	           0.001	           6.400	          28.948
           1.000	           1.000	         -19.000	          -0.001	           0.001	           6.500	          35.643	          12.289	         -18.853	      -19764.840	          37.702	          42.153	             NaN	              R+	          19.000	           0.001	           6.500	          28.946
           1.000	           1.000	         -19.000	          -0.001	           0.001	           6.600	          35.585	          12.530	         -18.851	      -19769.392	          37.726	          42.174	             NaN	              R+	          19.000	           0.001	           6.600	          28.921
           1.000	           1.000	         -19.000	          -0.001	           0.001	           6.700	          35.501	          12.687	         -18.897	      -19773.943	          37.700	          42.171	             NaN	              R+	          19.000	           0.001	           6.700	          28.921
           1.000	           1.000	         -19.000	          -0.001	           0.001	           6.800	          35.367	          13.049	         -18.685	      -19778.494	          37.698	          42.074	             NaN	              R+	          19.000	           0.001	           6.800	          28.817
           1.000	           1.000	         -19.000	          -0.001	           0.001	           6.900	          35.299	          13.338	         -18.672	      -19783.046	          37.735	          42.102	             NaN	              R+	          19.000	           0.001	           6.900	          28.763
           1.000	           1.000	         -19.000	          -0.001	           0.001	           7.000	          35.217	          13.586	         -18.625	      -19787.597	          37.747	          42.092	             NaN	              R+	          19.000	           0.001	           7.000	          28.789
           1.000	           1.000	         -19.000	          -0.001	           0.001	           7.100	          35.111	          13.821	         -18.532	      -19792.149	          37.733	          42.038	             NaN	              R+	          19.000	           0.001	           7.100	          28.800
           1.000	           1.000	         -19.000	          -0.001	           0.001	           7.200	          34.979	          14.092	         -18.442	      -19796.700	          37.711	          41.979	             NaN	              R+	          19.000	           0.001	           7.200	          28.767
           1.000	           1.000	         -19.000	          -0.001	           0.001	           7.300	          34.902	          14.360	         -18.412	      -19801.251	          37.741	          41.993	             NaN	              R+	          19.000	           0.001	           7.300	          28.823
           1.000	           1.000	         -19.000	          -0.001	           0.001	           7.400	          34.766	          14.647	         -18.347	      -19805.803	          37.726	          41.950	             NaN	              R+	          19.000	           0.001	           7.400	          28.840
           1.000	           1.000	         -19.000	          -0.001	           0.001	           7.500	          34.634	          14.930	         -18.270	      -19810.354	          37.715	          41.907	             NaN	              R+	          19.000	           0.001	           7.500	          28.791
           1.000	           1.000	         -19.000	          -0.001	           0.001	           7.600	          34.607	          15.175	         -18.231	      -19814.906	          37.788	          41.956	             NaN	              R+	          19.000	           0.001	           7.600	          28.767
           1.000	           1.000	         -19.000	          -0.001	           0.001	           7.700	          34.412	          15.404	         -18.160	      -19819.457	          37.702	          41.848	             NaN	              R+	          19.000	           0.001	           7.700	          28.778
           1.000	           1.000	         -19.000	          -0.001	           0.001	           7.800	          34.269	          15.656	         -18.126	      -19824.008	          37.676	          41.809	             NaN	              R+	          19.000	           0.001	           7.800	          28.708
           1.000	           1.000	         -19.000	          -0.001	           0.001	           7.900	          34.141	          15.934	         -18.063	      -19828.560	          37.676	          41.783	             NaN	              R+	          19.000	           0.001	           7.900	          28.649
           1.000	           1.000	         -19.000	          -0.001	           0.001	           8.000	          33.987	          16.239	         -17.909	      -19833.111	          37.667	          41.708	             NaN	              R+	          19.000	           0.001	           8.000	          28.692
           1.000	           1.000	         -19.000	          -0.001	           0.001	           8.100	          33.887	          16.548	         -17.881	      -19837.662	          37.711	          41.735	             NaN	              R+	          19.000	           0.001	           8.100	          28.701
           1.000	           1.000	         -19.000	          -0.001	           0.001	           8.200	          33.749	          16.733	         -17.825	      -19842.214	          37.670	          41.674	             NaN	              R+	          19.000	           0.001	           8.200	          28.649
           1.000	           1.000	         -19.000	          -0.001	           0.001	           8.300	          33.608	          16.949	         -17.728	      -19846.765	          37.640	          41.606	             NaN	              R+	          19.000	           0.001	           8.300	          28.606
           1.000	           1.000	         -19.000	          -0.001	           0.001	           8.400	          33.487	          17.288	         -17.589	      -19851.317	          37.687	          41.589	             NaN	              R+	          19.000	           0.001	           8.400	          28.616
           1.000	           1.000	         -19.000	          -0.001	           0.001	           8.500	          33.391	          17.490	         -17.566	      -19855.868	          37.694	          41.586	             NaN	              R+	          19.000	           0.001	           8.500	          28.624
           1.000	           1.000	         -19.000	          -0.001	           0.001	           8.600	          33.224	          17.759	         -17.544	      -19860.419	          37.673	          41.558	             NaN	              R+	          19.000	           0.001	           8.600	          28.556
           1.000	           1.000	         -19.000	          -0.001	           0.001	           8.700	          33.035	          18.032	         -17.464	      -19864.971	          37.636	          41.491	             NaN	              R+	          19.000	           0.001	           8.700	          28.466
           1.000	           1.000	         -19.000	          -0.001	           0.001	           8.800	          32.852	          18.283	         -17.313	      -19869.522	          37.597	          41.391	             NaN	              R+	          19.000	           0.001	           8.800	          28.422
           1.000	           1.000	         -19.000	          -0.001	           0.001	           8.900	          32.704	          18.557	         -17.232	      -19874.074	          37.602	          41.362	             NaN	              R+	          19.000	           0.001	           8.900	          28.422
           1.000	           1.000	         -19.000	          -0.001	           0.001	           9.000	          32.550	          18.875	         -17.176	      -19878.625	          37.627	          41.362	             NaN	              R+	          19.000	           0.001	           9.000	          28.432
           1.000	           1.000	         -19.000	          -0.001	           0.001	           9.100	          32.385	          19.141	         -17.101	      -19883.176	          37.619	          41.323	             NaN	              R+	          19.000	           0.001	           9.100	          28.405
           1.000	           1.000	         -19.000	          -0.001	           0.001	           9.200	          32.210	          19.335	         -17.000	      -19887.728	          37.567	          41.235	             NaN	              R+	          19.000	           0.001	           9.200	          28.384
           1.000	           1.000	         -19.000	          -0.001	           0.001	           9.300	          32.072	          19.645	         -16.917	      -19892.279	          37.610	          41.240	             NaN	              R+	          19.000	           0.001	           9.300	          28.452
           1.000	           1.000	         -19.000	          -0.001	           0.001	           9.400	          31.883	          19.926	         -16.850	      -19896.831	          37.598	          41.201	             NaN	              R+	          19.000	           0.001	           9.400	          28.425
