Measurement mode: Multipole mode
Scanning path: 
Sr+360
****************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************
File name: IPM_evide_dessus_r12
Date: 12.07.2018
Time: 16:34
Sample: 1mm
Gaussmeter: MMS-1A-RS
Hall probe: SENIS AG
Air gap: 1mm
Scanning resolution [µm]: 1000
Resolution rotation [°]:  0.1
Custom space line for Area scan: off
Probe offset X: -0.235mT;   Probe offset Y: -0.33mT;   Probe offset Z: -0.193mT;
Position offset X: 0mm;   Position offset Y: 0mm;   Position offset Z: 0mm;
Start position X=-11.998    Start position Y=-0.001    Start position Z=1    Start position R=67.808
System serial number:MMS-1A-RS
Probe serial number: F3A-03K02D-S.2T/01T/25KJ  238-17, Selected measurement range: 200 mT
Calibration date:
Coordinate system: Rot table
Probe angle position: 0 degrees
Filter is turned ON          Lower Cut Off: 2500
Linear speed: 13 mm/s          Rotation speed: 120 deg/s
Graph view for Diameter and Multipole mode for full rotation: Default
****************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************


           Slice	            Line	          X [mm]	          Y [mm]	          Z [mm]	  Rotation [deg]	         Bx [mT]	         By [mT]	         Bz [mT]	Rot. Enc [steps]	        Bxy [mT]	       Btot [mT]	Angle error [deg]	       Direction	         R [mm] 	          Z [mm]	     Theta [deg]	Probe temp [°C] 
           1.000	           1.000	         -11.998	          -0.001	           1.000	           4.200	          -6.891	          17.794	        -128.178	       62259.842	          19.082	         129.591	             NaN	              R+	          11.998	           1.000	           4.200	          28.654
           1.000	           1.000	         -11.998	          -0.001	           1.000	           4.300	          -7.045	          18.780	        -128.395	       62255.290	          20.058	         129.952	             NaN	              R+	          11.998	           1.000	           4.300	          28.615
           1.000	           1.000	         -11.998	          -0.001	           1.000	           4.400	          -7.202	          19.825	        -128.501	       62250.739	          21.093	         130.221	             NaN	              R+	          11.998	           1.000	           4.400	          28.653
           1.000	           1.000	         -11.998	          -0.001	           1.000	           4.500	          -7.330	          20.596	        -128.675	       62246.187	          21.861	         130.519	             NaN	              R+	          11.998	           1.000	           4.500	          28.580
           1.000	           1.000	         -11.998	          -0.001	           1.000	           4.600	          -7.479	          21.540	        -128.775	       62241.636	          22.802	         130.778	             NaN	              R+	          11.998	           1.000	           4.600	          28.582
           1.000	           1.000	         -11.998	          -0.001	           1.000	           4.700	          -7.594	          22.448	        -128.986	       62237.085	          23.698	         131.145	             NaN	              R+	          11.998	           1.000	           4.700	          28.653
           1.000	           1.000	         -11.998	          -0.001	           1.000	           4.800	          -7.712	          23.449	        -129.207	       62232.533	          24.684	         131.544	             NaN	              R+	          11.998	           1.000	           4.800	          28.660
           1.000	           1.000	         -11.998	          -0.001	           1.000	           4.900	          -7.841	          24.356	        -129.342	       62227.982	          25.587	         131.849	             NaN	              R+	          11.998	           1.000	           4.900	          28.729
           1.000	           1.000	         -11.998	          -0.001	           1.000	           5.000	          -7.960	          25.486	        -129.557	       62223.431	          26.700	         132.280	             NaN	              R+	          11.998	           1.000	           5.000	          28.609
           1.000	           1.000	         -11.998	          -0.001	           1.000	           5.100	          -8.036	          26.426	        -129.522	       62218.879	          27.621	         132.434	             NaN	              R+	          11.998	           1.000	           5.100	          28.654
           1.000	           1.000	         -11.998	          -0.001	           1.000	           5.200	          -8.214	          27.396	        -129.690	       62214.328	          28.601	         132.806	             NaN	              R+	          11.998	           1.000	           5.200	          28.648
           1.000	           1.000	         -11.998	          -0.001	           1.000	           5.300	          -8.356	          28.338	        -129.826	       62209.776	          29.545	         133.146	             NaN	              R+	          11.998	           1.000	           5.300	          28.764
           1.000	           1.000	         -11.998	          -0.001	           1.000	           5.400	          -8.478	          29.404	        -129.889	       62205.225	          30.602	         133.445	             NaN	              R+	          11.998	           1.000	           5.400	          28.651
           1.000	           1.000	         -11.998	          -0.001	           1.000	           5.500	          -8.588	          30.436	        -129.988	       62200.674	          31.624	         133.780	             NaN	              R+	          11.998	           1.000	           5.500	          28.626
           1.000	           1.000	         -11.998	          -0.001	           1.000	           5.600	          -8.721	          31.656	        -130.141	       62196.122	          32.835	         134.220	             NaN	              R+	          11.998	           1.000	           5.600	          28.663
           1.000	           1.000	         -11.998	          -0.001	           1.000	           5.700	          -8.907	          32.938	        -130.259	       62191.571	          34.121	         134.653	             NaN	              R+	          11.998	           1.000	           5.700	          28.593
           1.000	           1.000	         -11.998	          -0.001	           1.000	           5.800	          -9.065	          34.001	        -130.312	       62187.019	          35.189	         134.979	             NaN	              R+	          11.998	           1.000	           5.800	          28.594
           1.000	           1.000	         -11.998	          -0.001	           1.000	           5.900	          -9.186	          35.030	        -130.319	       62182.468	          36.215	         135.258	             NaN	              R+	          11.998	           1.000	           5.900	          28.602
           1.000	           1.000	         -11.998	          -0.001	           1.000	           6.000	          -9.308	          36.235	        -130.315	       62177.917	          37.412	         135.579	             NaN	              R+	          11.998	           1.000	           6.000	          28.590
           1.000	           1.000	         -11.998	          -0.001	           1.000	           6.100	          -9.512	          37.513	        -130.393	       62173.365	          38.700	         136.015	             NaN	              R+	          11.998	           1.000	           6.100	          28.650
           1.000	           1.000	         -11.998	          -0.001	           1.000	           6.200	          -9.639	          38.618	        -130.361	       62168.814	          39.803	         136.302	             NaN	              R+	          11.998	           1.000	           6.200	          28.550
           1.000	           1.000	         -11.998	          -0.001	           1.000	           6.300	          -9.842	          39.949	        -130.376	       62164.262	          41.144	         136.714	             NaN	              R+	          11.998	           1.000	           6.300	          28.562
           1.000	           1.000	         -11.998	          -0.001	           1.000	           6.400	          -9.916	          41.172	        -130.355	       62159.711	          42.349	         137.061	             NaN	              R+	          11.998	           1.000	           6.400	          28.584
           1.000	           1.000	         -11.998	          -0.001	           1.000	           6.500	         -10.031	          42.418	        -130.335	       62155.160	          43.588	         137.430	             NaN	              R+	          11.998	           1.000	           6.500	          28.578
           1.000	           1.000	         -11.998	          -0.001	           1.000	           6.600	         -10.248	          43.746	        -130.312	       62150.608	          44.931	         137.840	             NaN	              R+	          11.998	           1.000	           6.600	          28.650
           1.000	           1.000	         -11.998	          -0.001	           1.000	           6.700	         -10.352	          44.967	        -130.210	       62146.057	          46.143	         138.144	             NaN	              R+	          11.998	           1.000	           6.700	          28.730
           1.000	           1.000	         -11.998	          -0.001	           1.000	           6.800	         -10.614	          46.386	        -130.043	       62141.506	          47.584	         138.475	             NaN	              R+	          11.998	           1.000	           6.800	          28.621
           1.000	           1.000	         -11.998	          -0.001	           1.000	           6.900	         -10.719	          47.681	        -129.861	       62136.954	          48.871	         138.752	             NaN	              R+	          11.998	           1.000	           6.900	          28.666
           1.000	           1.000	         -11.998	          -0.001	           1.000	           7.000	         -10.846	          49.004	        -129.702	       62132.403	          50.190	         139.074	             NaN	              R+	          11.998	           1.000	           7.000	          28.659
           1.000	           1.000	         -11.998	          -0.001	           1.000	           7.100	         -10.997	          50.363	        -129.545	       62127.851	          51.550	         139.425	             NaN	              R+	          11.998	           1.000	           7.100	          28.560
           1.000	           1.000	         -11.998	          -0.001	           1.000	           7.200	         -11.120	          51.728	        -129.339	       62123.300	          52.910	         139.743	             NaN	              R+	          11.998	           1.000	           7.200	          28.572
           1.000	           1.000	         -11.998	          -0.001	           1.000	           7.300	         -11.276	          53.124	        -129.065	       62118.749	          54.308	         140.026	             NaN	              R+	          11.998	           1.000	           7.300	          28.648
           1.000	           1.000	         -11.998	          -0.001	           1.000	           7.400	         -11.483	          54.702	        -128.716	       62114.197	          55.894	         140.329	             NaN	              R+	          11.998	           1.000	           7.400	          28.610
           1.000	           1.000	         -11.998	          -0.001	           1.000	           7.500	         -11.660	          56.211	        -128.374	       62109.646	          57.408	         140.626	             NaN	              R+	          11.998	           1.000	           7.500	          28.588
           1.000	           1.000	         -11.998	          -0.001	           1.000	           7.600	         -11.780	          57.547	        -128.067	       62105.094	          58.740	         140.896	             NaN	              R+	          11.998	           1.000	           7.600	          28.666
           1.000	           1.000	         -11.998	          -0.001	           1.000	           7.700	         -11.907	          58.886	        -127.701	       62100.543	          60.078	         141.127	             NaN	              R+	          11.998	           1.000	           7.700	          28.693
           1.000	           1.000	         -11.998	          -0.001	           1.000	           7.800	         -12.096	          60.220	        -127.259	       62095.992	          61.422	         141.307	             NaN	              R+	          11.998	           1.000	           7.800	          28.663
           1.000	           1.000	         -11.998	          -0.001	           1.000	           7.900	         -12.230	          61.621	        -126.800	       62091.440	          62.823	         141.510	             NaN	              R+	          11.998	           1.000	           7.900	          28.658
           1.000	           1.000	         -11.998	          -0.001	           1.000	           8.000	         -12.319	          63.072	        -126.310	       62086.889	          64.264	         141.718	             NaN	              R+	          11.998	           1.000	           8.000	          28.639
           1.000	           1.000	         -11.998	          -0.001	           1.000	           8.100	         -12.430	          64.510	        -125.737	       62082.338	          65.697	         141.866	             NaN	              R+	          11.998	           1.000	           8.100	          28.577
           1.000	           1.000	         -11.998	          -0.001	           1.000	           8.200	         -12.564	          65.988	        -125.260	       62077.786	          67.173	         142.135	             NaN	              R+	          11.998	           1.000	           8.200	          28.635
           1.000	           1.000	         -11.998	          -0.001	           1.000	           8.300	         -12.710	          67.463	        -124.636	       62073.235	          68.650	         142.292	             NaN	              R+	          11.998	           1.000	           8.300	          28.634
           1.000	           1.000	         -11.998	          -0.001	           1.000	           8.400	         -12.858	          68.978	        -123.935	       62068.683	          70.166	         142.419	             NaN	              R+	          11.998	           1.000	           8.400	          28.631
           1.000	           1.000	         -11.998	          -0.001	           1.000	           8.500	         -12.982	          70.563	        -123.283	       62064.132	          71.747	         142.641	             NaN	              R+	          11.998	           1.000	           8.500	          28.690
           1.000	           1.000	         -11.998	          -0.001	           1.000	           8.600	         -13.037	          71.973	        -122.573	       62059.581	          73.144	         142.738	             NaN	              R+	          11.998	           1.000	           8.600	          28.621
           1.000	           1.000	         -11.998	          -0.001	           1.000	           8.700	         -13.199	          73.444	        -121.711	       62055.029	          74.621	         142.765	             NaN	              R+	          11.998	           1.000	           8.700	          28.631
           1.000	           1.000	         -11.998	          -0.001	           1.000	           8.800	         -13.341	          74.833	        -120.894	       62050.478	          76.013	         142.805	             NaN	              R+	          11.998	           1.000	           8.800	          28.665
           1.000	           1.000	         -11.998	          -0.001	           1.000	           8.900	         -13.444	          76.129	        -120.140	       62045.926	          77.307	         142.864	             NaN	              R+	          11.998	           1.000	           8.900	          28.644
           1.000	           1.000	         -11.998	          -0.001	           1.000	           9.000	         -13.516	          77.360	        -119.411	       62041.375	          78.532	         142.921	             NaN	              R+	          11.998	           1.000	           9.000	          28.611
           1.000	           1.000	         -11.998	          -0.001	           1.000	           9.100	         -13.546	          78.705	        -118.598	       62036.824	          79.862	         142.980	             NaN	              R+	          11.998	           1.000	           9.100	          28.657
           1.000	           1.000	         -11.998	          -0.001	           1.000	           9.200	         -13.596	          80.108	        -117.657	       62032.272	          81.254	         142.987	             NaN	              R+	          11.998	           1.000	           9.200	          28.691
           1.000	           1.000	         -11.998	          -0.001	           1.000	           9.300	         -13.709	          81.506	        -116.579	       62027.721	          82.651	         142.905	             NaN	              R+	          11.998	           1.000	           9.300	          28.651
           1.000	           1.000	         -11.998	          -0.001	           1.000	           9.400	         -13.777	          82.564	        -115.743	       62023.169	          83.705	         142.839	             NaN	              R+	          11.998	           1.000	           9.400	          28.641
           1.000	           1.000	         -11.998	          -0.001	           1.000	           9.500	         -13.827	          83.798	        -114.805	       62018.618	          84.931	         142.806	             NaN	              R+	          11.998	           1.000	           9.500	          28.673
           1.000	           1.000	         -11.998	          -0.001	           1.000	           9.600	         -13.862	          85.149	        -113.763	       62014.067	          86.270	         142.775	             NaN	              R+	          11.998	           1.000	           9.600	          28.688
           1.000	           1.000	         -11.998	          -0.001	           1.000	           9.700	         -13.908	          86.305	        -112.681	       62009.515	          87.419	         142.615	             NaN	              R+	          11.998	           1.000	           9.700	          28.636
           1.000	           1.000	         -11.998	          -0.001	           1.000	           9.800	         -13.954	          87.418	        -111.661	       62004.964	          88.524	         142.495	             NaN	              R+	          11.998	           1.000	           9.800	          28.586
           1.000	           1.000	         -11.998	          -0.001	           1.000	           9.900	         -13.990	          88.538	        -110.638	       62000.412	          89.636	         142.392	             NaN	              R+	          11.998	           1.000	           9.900	          28.579
           1.000	           1.000	         -11.998	          -0.001	           1.000	          10.000	         -13.949	          89.873	        -109.371	       61995.861	          90.949	         142.245	             NaN	              R+	          11.998	           1.000	          10.000	          28.609
