Measurement mode: Multipole mode
Scanning path: 
Sr+360
****************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************
File name: IPM_1i2_surface
Date: 12.07.2018
Time: 16:42
Sample: 1mm
Gaussmeter: MMS-1A-RS
Hall probe: SENIS AG
Air gap: 1mm
Scanning resolution [µm]: 1000
Resolution rotation [°]:  0.1
Custom space line for Area scan: off
Probe offset X: -0.235mT;   Probe offset Y: -0.33mT;   Probe offset Z: -0.193mT;
Position offset X: 0mm;   Position offset Y: 0mm;   Position offset Z: 0mm;
Start position X=-16.999    Start position Y=-0.001    Start position Z=0.001    Start position R=67.786
System serial number:MMS-1A-RS
Probe serial number: F3A-03K02D-S.2T/01T/25KJ  238-17, Selected measurement range: 200 mT
Calibration date:
Coordinate system: Rot table
Probe angle position: 0 degrees
Filter is turned ON          Lower Cut Off: 2500
Linear speed: 13 mm/s          Rotation speed: 120 deg/s
Graph view for Diameter and Multipole mode for full rotation: Default
****************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************


           Slice	            Line	          X [mm]	          Y [mm]	          Z [mm]	  Rotation [deg]	         Bx [mT]	         By [mT]	         Bz [mT]	Rot. Enc [steps]	        Bxy [mT]	       Btot [mT]	Angle error [deg]	       Direction	         R [mm] 	          Z [mm]	     Theta [deg]	Probe temp [°C] 
           1.000	           1.000	         -16.999	          -0.001	           0.001	           4.700	          81.696	          10.216	         -45.992	      -36067.889	          82.332	          94.307	             NaN	              R+	          16.999	           0.001	           4.700	          28.159
           1.000	           1.000	         -16.999	          -0.001	           0.001	           4.800	          81.695	          10.674	         -45.970	      -36072.440	          82.389	          94.347	             NaN	              R+	          16.999	           0.001	           4.800	          28.243
           1.000	           1.000	         -16.999	          -0.001	           0.001	           4.900	          81.684	          11.106	         -45.970	      -36076.991	          82.435	          94.387	             NaN	              R+	          16.999	           0.001	           4.900	          28.268
           1.000	           1.000	         -16.999	          -0.001	           0.001	           5.000	          81.777	          11.485	         -46.047	      -36081.542	          82.580	          94.550	             NaN	              R+	          16.999	           0.001	           5.000	          28.211
           1.000	           1.000	         -16.999	          -0.001	           0.001	           5.100	          81.948	          11.831	         -46.073	      -36086.092	          82.797	          94.753	             NaN	              R+	          16.999	           0.001	           5.100	          28.216
           1.000	           1.000	         -16.999	          -0.001	           0.001	           5.200	          82.045	          12.223	         -46.097	      -36090.643	          82.950	          94.898	             NaN	              R+	          16.999	           0.001	           5.200	          28.206
           1.000	           1.000	         -16.999	          -0.001	           0.001	           5.300	          82.098	          12.672	         -46.073	      -36095.194	          83.071	          94.992	             NaN	              R+	          16.999	           0.001	           5.300	          28.102
           1.000	           1.000	         -16.999	          -0.001	           0.001	           5.400	          82.135	          13.050	         -46.055	      -36099.745	          83.165	          95.065	             NaN	              R+	          16.999	           0.001	           5.400	          28.133
           1.000	           1.000	         -16.999	          -0.001	           0.001	           5.500	          82.168	          13.460	         -46.027	      -36104.296	          83.263	          95.138	             NaN	              R+	          16.999	           0.001	           5.500	          28.195
           1.000	           1.000	         -16.999	          -0.001	           0.001	           5.600	          82.179	          13.894	         -46.078	      -36108.847	          83.345	          95.234	             NaN	              R+	          16.999	           0.001	           5.600	          28.157
